user_id,item_id,behavior_type,user_geohash,item_category,time,date
100000000,200000027,1,geo662,3000,2014111814,2014-11-18
100000000,200000015,1,geo918,1000,2014111804,2014-11-18
100000000,200000015,3,geo120,1000,2014111806,2014-11-18
100000000,200000023,1,geo341,4000,2014111813,2014-11-18
100000000,200000023,4,geo445,4000,2014111808,2014-11-18
100000000,200000017,1,geo527,3000,2014111806,2014-11-18
100000000,200000008,1,geo661,4000,2014111803,2014-11-18
100000000,200000008,4,geo487,4000,2014111807,2014-11-18
100000000,200000009,1,geo576,5000,2014111821,2014-11-18
100000000,200000029,1,geo369,5000,2014111803,2014-11-18
100000000,200000029,2,geo370,5000,2014111815,2014-11-18
100000000,200000029,4,geo561,5000,2014111807,2014-11-18
100000001,200000003,1,geo879,4000,2014111807,2014-11-18
100000001,200000001,1,geo904,2000,2014111823,2014-11-18
100000001,200000004,1,geo838,5000,2014111800,2014-11-18
100000001,200000004,2,geo561,5000,2014111804,2014-11-18
100000001,200000005,1,geo970,1000,2014111813,2014-11-18
100000001,200000005,2,geo306,1000,2014111808,2014-11-18
100000001,200000009,1,geo340,5000,2014111806,2014-11-18
100000001,200000018,1,geo330,4000,2014111822,2014-11-18
100000001,200000018,4,geo754,4000,2014111812,2014-11-18
100000001,200000013,1,geo185,4000,2014111818,2014-11-18
100000001,200000013,2,geo781,4000,2014111801,2014-11-18
100000002,200000014,1,geo486,5000,2014111801,2014-11-18
100000002,200000014,2,geo712,5000,2014111816,2014-11-18
100000002,200000014,3,geo180,5000,2014111816,2014-11-18
100000002,200000013,1,geo835,4000,2014111822,2014-11-18
100000002,200000013,3,geo484,4000,2014111800,2014-11-18
100000002,200000018,1,geo515,4000,2014111805,2014-11-18
100000002,200000015,1,geo866,1000,2014111816,2014-11-18
100000002,200000009,1,geo610,5000,2014111821,2014-11-18
100000002,200000009,2,geo243,5000,2014111815,2014-11-18
100000002,200000009,4,geo300,5000,2014111800,2014-11-18
100000003,200000011,1,geo101,2000,2014111816,2014-11-18
100000003,200000011,3,geo403,2000,2014111800,2014-11-18
100000003,200000004,1,geo108,5000,2014111822,2014-11-18
100000003,200000004,2,geo198,5000,2014111808,2014-11-18
100000003,200000024,1,geo219,5000,2014111821,2014-11-18
100000003,200000024,2,geo727,5000,2014111800,2014-11-18
100000003,200000024,3,geo724,5000,2014111810,2014-11-18
100000003,200000022,1,geo211,3000,2014111802,2014-11-18
100000003,200000022,3,geo252,3000,2014111802,2014-11-18
100000004,200000009,1,geo580,5000,2014111814,2014-11-18
100000004,200000016,1,geo291,2000,2014111802,2014-11-18
100000004,200000026,1,geo472,2000,2014111813,2014-11-18
100000004,200000026,4,geo198,2000,2014111805,2014-11-18
100000004,200000022,1,geo280,3000,2014111813,2014-11-18
