user_id,item_id,behavior_type,user_geohash,item_category,time
100000000,200000027,1,geo662,3000,2014111814
100000000,200000015,1,geo918,1000,2014111804
100000000,200000015,3,geo120,1000,2014111806
100000000,200000023,1,geo341,4000,2014111813
100000000,200000023,4,geo445,4000,2014111808
100000000,200000017,1,geo527,3000,2014111806
100000000,200000008,1,geo661,4000,2014111803
100000000,200000008,4,geo487,4000,2014111807
100000000,200000009,1,geo576,5000,2014111821
100000000,200000029,1,geo369,5000,2014111803
100000000,200000029,2,geo370,5000,2014111815
100000000,200000029,4,geo561,5000,2014111807
100000001,200000003,1,geo879,4000,2014111807
100000001,200000001,1,geo904,2000,2014111823
100000001,200000004,1,geo838,5000,2014111800
100000001,200000004,2,geo561,5000,2014111804
100000001,200000005,1,geo970,1000,2014111813
100000001,200000005,2,geo306,1000,2014111808
100000001,200000009,1,geo340,5000,2014111806
100000001,200000018,1,geo330,4000,2014111822
100000001,200000018,4,geo754,4000,2014111812
100000001,200000013,1,geo185,4000,2014111818
100000001,200000013,2,geo781,4000,2014111801
100000002,200000014,1,geo486,5000,2014111801
100000002,200000014,2,geo712,5000,2014111816
100000002,200000014,3,geo180,5000,2014111816
100000002,200000013,1,geo835,4000,2014111822
100000002,200000013,3,geo484,4000,2014111800
100000002,200000018,1,geo515,4000,2014111805
100000002,200000015,1,geo866,1000,2014111816
100000002,200000009,1,geo610,5000,2014111821
100000002,200000009,2,geo243,5000,2014111815
100000002,200000009,4,geo300,5000,2014111800
100000003,200000011,1,geo101,2000,2014111816
100000003,200000011,3,geo403,2000,2014111800
100000003,200000004,1,geo108,5000,2014111822
100000003,200000004,2,geo198,5000,2014111808
100000003,200000024,1,geo219,5000,2014111821
100000003,200000024,2,geo727,5000,2014111800
100000003,200000024,3,geo724,5000,2014111810
100000003,200000022,1,geo211,3000,2014111802
100000003,200000022,3,geo252,3000,2014111802
100000004,200000009,1,geo580,5000,2014111814
100000004,200000016,1,geo291,2000,2014111802
100000004,200000026,1,geo472,2000,2014111813
100000004,200000026,4,geo198,2000,2014111805
100000004,200000022,1,geo280,3000,2014111813
100000004,200000022,2,geo799,3000,2014111802
100000004,200000022,3,geo215,3000,2014111800
100000004,200000004,1,geo227,5000,2014111802
100000005,200000012,1,geo499,3000,2014111813
100000005,200000023,1,geo933,4000,2014111801
100000005,200000023,3,geo953,4000,2014111822
100000006,200000015,1,geo703,1000,2014111818
100000006,200000001,1,geo226,2000,2014111822
100000006,200000001,2,geo740,2000,2014111808
100000006,200000023,1,geo659,4000,2014111821
100000007,200000005,1,geo861,1000,2014111809
100000007,200000005,2,geo541,1000,2014111818
100000007,200000005,3,geo424,1000,2014111800
100000008,200000029,1,geo214,5000,2014111801
100000008,200000029,3,geo295,5000,2014111808
100000008,200000005,1,geo519,1000,2014111823
100000008,200000005,4,geo860,1000,2014111820
100000008,200000014,1,geo788,5000,2014111802
100000008,200000027,1,geo762,3000,2014111823
100000008,200000027,2,geo879,3000,2014111804
100000008,200000006,1,geo897,2000,2014111808
100000009,200000022,1,geo141,3000,2014111820
100000009,200000022,2,geo497,3000,2014111806
100000010,200000024,1,geo231,5000,2014111812
100000010,200000024,2,geo169,5000,2014111803
100000010,200000024,4,geo544,5000,2014111818
100000010,200000023,1,geo138,4000,2014111818
100000010,200000000,1,geo575,1000,2014111819
100000010,200000003,1,geo447,4000,2014111802
100000010,200000003,2,geo508,4000,2014111816
100000010,200000003,3,geo216,4000,2014111823
100000010,200000027,1,geo248,3000,2014111814
100000010,200000027,2,geo985,3000,2014111815
100000010,200000027,4,geo302,3000,2014111820
100000010,200000015,1,geo146,1000,2014111817
100000010,200000015,2,geo404,1000,2014111808
100000010,200000026,1,geo358,2000,2014111821
100000011,200000002,1,geo549,3000,2014111814
100000011,200000002,2,geo923,3000,2014111809
100000011,200000002,3,geo350,3000,2014111817
100000011,200000012,1,geo245,3000,2014111800
100000011,200000001,1,geo926,2000,2014111821
100000011,200000001,2,geo560,2000,2014111816
100000011,200000026,1,geo922,2000,2014111820
100000011,200000006,1,geo870,2000,2014111805
100000011,200000006,2,geo122,2000,2014111820
100000011,200000006,3,geo664,2000,2014111804
100000011,200000006,4,geo813,2000,2014111804
100000011,200000018,1,geo100,4000,2014111813
100000011,200000018,2,geo784,4000,2014111818
100000011,200000013,1,geo447,4000,2014111801
100000012,200000019,1,geo580,5000,2014111805
100000012,200000009,1,geo180,5000,2014111818
100000012,200000009,2,geo896,5000,2014111804
100000012,200000008,1,geo168,4000,2014111819
100000012,200000008,3,geo873,4000,2014111801
100000012,200000018,1,geo982,4000,2014111815
100000012,200000029,1,geo473,5000,2014111810
100000012,200000010,1,geo963,1000,2014111802
100000012,200000003,1,geo502,4000,2014111818
100000013,200000028,1,geo818,4000,2014111819
100000013,200000028,3,geo738,4000,2014111814
100000013,200000003,1,geo315,4000,2014111813
100000013,200000003,2,geo464,4000,2014111801
100000013,200000022,1,geo722,3000,2014111802
